Crop,State,Season,Area-2020-21,Area-2021-22,Area-2022-23,Area-2023-24,Area-2024-25,Production-2020-21,Production-2021-22,Production-2022-23,Production-2023-24,Production-2024-25,Yield-2020-21,Yield-2021-22,Yield-2022-23,Yield-2023-24,Yield-2024-25,Soil_Moisture-2020-21,Soil_Moisture-2021-22,Soil_Moisture-2022-23,Soil_Moisture-2023-24,Soil_Moisture-2024-25,Nitrogen-2020-21,Nitrogen-2021-22,Nitrogen-2022-23,Nitrogen-2023-24,Nitrogen-2024-25,Phosphorus-2020-21,Phosphorus-2021-22,Phosphorus-2022-23,Phosphorus-2023-24,Phosphorus-2024-25,Potassium-2020-21,Potassium-2021-22,Potassium-2022-23,Potassium-2023-24,Potassium-2024-25,Soil_pH-2020-21,Soil_pH-2021-22,Soil_pH-2022-23,Soil_pH-2023-24,Soil_pH-2024-25,Temperature-2020-21,Temperature-2021-22,Temperature-2022-23,Temperature-2023-24,Temperature-2024-25,Rainfall-2020-21,Rainfall-2021-22,Rainfall-2022-23,Rainfall-2023-24,Rainfall-2024-25,Humidity-2020-21,Humidity-2021-22,Humidity-2022-23,Humidity-2023-24,Humidity-2024-25
Rice,All India,Total,457.69,462.79,478.32,478.28,477.3,1243.68,1294.71,1357.55,1378.25,1364.37,2717.0,2798,2838.0,2882.0,2859.0,21.86,37.84,33.94,34.52,23.46,88.3,127.1,80.8,112.5,149.8,45.4,45.1,47.8,57.9,32.0,115.2,169.7,191.5,102.5,162.4,6.4,5.87,6.79,6.13,6.83,33.25,32.61,25.82,31.86,30.68,1466.44,1015.62,1813.0,1841.77,1453.39,61.81,85.2,68.22,87.82,86.04
Rice,Uttar Pradesh,Total,56.78,57.03,58.98,57.68,72.25,155.2,152.72,161.43,159.9,199.4,2733.0,2678,2737.0,2772.0,2760.0,37.94,32.62,34.05,39.52,28.68,128.8,132.7,112.8,104.7,118.9,53.5,50.7,50.4,46.7,52.2,131.2,192.2,136.2,115.6,140.9,6.5,6.73,6.77,6.61,6.89,28.48,30.41,31.8,29.3,31.89,1663.04,1085.05,1766.8,1012.58,806.91,88.03,87.0,62.38,67.04,84.18
Rice,West Bengal,Total,55.86,55.86,50.65,51.19,42.3,165.24,167.29,154.84,156.87,121.18,2958.0,2995,3057.0,3064.0,2865.0,38.01,35.9,27.19,30.33,27.97,124.0,135.4,83.9,120.9,133.8,41.9,31.2,53.7,47.1,47.2,124.8,170.7,158.1,171.6,155.2,5.76,6.7,5.98,5.86,6.99,31.78,34.63,31.55,27.01,33.01,1074.15,1965.67,1502.43,1631.15,1189.5,70.55,70.6,62.57,71.98,83.7
Rice,Odisha,Total,40.38,39.48,40.64,40.72,33.36,88.1,92.91,82.5,84.74,78.99,2182.0,2353,2030.0,2081.0,2368.0,32.66,30.05,25.87,26.46,32.32,141.4,135.3,88.3,85.4,146.1,48.7,54.0,45.0,38.4,55.3,174.4,115.3,163.2,165.9,143.6,6.87,6.54,6.74,5.67,5.76,30.66,28.42,27.73,29.92,27.0,1995.6,1017.17,1841.93,1805.74,1239.75,63.04,67.11,86.83,64.57,69.14
Rice,Chhattisgarh,Total,37.91,37.59,37.71,38.22,39.03,71.61,80.22,98.12,97.03,85.35,1889.0,2134,2602.0,2539.0,2187.0,26.78,31.54,36.19,35.9,32.7,131.5,86.4,88.2,148.2,139.5,55.9,48.8,32.6,53.1,34.2,103.4,157.6,101.3,102.7,129.4,6.13,5.91,5.56,6.03,6.09,27.67,31.33,34.51,25.64,26.67,1969.75,1825.26,1047.01,1933.54,1275.41,74.58,83.42,65.76,89.77,62.43
Rice,Telangana,Total,31.86,36.55,46.62,46.85,47.04,102.17,124.1,158.77,168.74,167.86,3206.0,3395,3406.0,3602.0,3568.0,26.98,29.85,36.2,25.42,20.91,136.2,114.6,125.4,149.0,97.3,58.5,32.5,46.1,35.6,53.9,157.0,160.7,166.4,122.2,194.8,6.07,6.39,6.39,5.93,6.64,33.79,34.32,26.51,30.82,26.05,1580.39,1390.73,934.3,1619.9,1634.56,67.7,68.24,69.7,87.81,72.09
Rice,Bihar,Total,30.21,30.91,28.63,31.1,31.67,67.47,77.17,70.23,79.02,80.09,2233.0,2496,2453.0,2541.0,2529.0,34.52,23.9,37.34,28.78,27.49,99.7,84.0,132.2,128.9,111.5,34.4,56.2,47.6,39.7,36.0,176.2,142.4,117.8,123.1,176.4,6.28,6.04,5.85,5.94,6.54,32.97,26.03,29.32,27.69,31.36,1039.45,1096.68,1123.7,1396.61,1266.27,68.55,84.68,66.8,76.2,65.21
Rice,Punjab,Total,29.28,29.69,30.98,31.79,32.43,127.84,128.85,129.91,143.56,142.45,4366.0,4340,4193.0,4516.0,4392.0,37.94,34.45,38.26,21.57,32.52,92.4,118.5,120.8,117.5,89.0,57.8,57.6,52.4,42.8,34.9,187.7,173.6,196.1,167.2,114.0,5.57,5.64,5.68,5.85,5.73,31.58,34.37,34.44,32.98,32.06,1616.27,1844.9,868.5,1541.42,1338.43,69.22,72.71,70.65,85.26,80.85
Rice,Assam,Total,23.6,23.53,23.18,22.96,19.34,52.15,43.82,56.24,55.39,43.28,2209.0,1862,2426.0,2413.0,2238.0,37.74,25.62,30.23,20.51,30.06,132.5,110.9,147.4,101.7,146.8,44.8,31.8,42.9,45.2,34.9,134.2,193.4,114.9,102.0,186.8,5.75,6.88,5.62,5.56,6.72,33.51,31.88,29.2,28.1,25.32,886.64,1334.37,1437.4,1842.69,1085.05,84.09,80.03,62.08,75.63,70.38
Rice,Andhra Pradesh,Total,23.23,22.89,21.29,19.21,20.97,78.83,77.64,79.42,73.42,80.18,3393.0,3392,3730.0,3822.0,3823.0,35.6,20.49,30.03,39.25,37.13,136.5,142.1,106.2,137.0,122.4,37.7,38.3,33.8,37.3,54.4,182.1,192.6,141.5,110.4,148.7,6.61,5.71,6.54,5.53,5.84,33.67,25.68,31.39,29.55,34.36,836.78,1417.78,1923.93,1484.73,1247.9,76.17,62.87,75.57,78.71,89.27
